family,cell,h,bound_type,bound,sandwich_width
AR(1) grid,"C=7, rho=0.1",96,CI=CD (exact),1.0,
AR(1) grid,"C=7, rho=0.5",96,CI=CD (exact),1.0,
AR(1) grid,"C=7, rho=0.9",96,CI=CD (exact),1.0,
AR(1) grid,"C=21, rho=0.1",96,CI=CD (exact),1.0,
AR(1) grid,"C=21, rho=0.5",96,CI=CD (exact),1.0,
AR(1) grid,"C=21, rho=0.9",96,CI=CD (exact),1.0,
AR(1) grid,"C=84, rho=0.1",96,CI=CD (exact),1.0,
AR(1) grid,"C=84, rho=0.5",96,CI=CD (exact),1.0,
AR(1) grid,"C=84, rho=0.9",96,CI=CD (exact),1.0,
block-covariance,"C=21, rho_in=0.5",96,CI=CD (exact),1.0,
block-covariance,"C=21, rho_in=0.9",96,CI=CD (exact),1.0,
block-covariance,"C=84, rho_in=0.5",96,CI=CD (exact),1.0,
block-covariance,"C=84, rho_in=0.9",96,CI=CD (exact),1.0,
boundary sweep,"all P, all gamma",96,CI=CD (exact),1.0,
leader-follower,"gamma=0.0, leader",96,CI=CD (exact),0.9999999999999996,
leader-follower,"gamma=0.0, isolate",96,CI=CD (exact),0.9999999999999996,
leader-follower,"gamma=0.3, leader",96,CI=CD (exact),0.9999999999999996,
leader-follower,"gamma=0.3, isolate",96,CI=CD (exact),0.9999999999999996,
leader-follower,"gamma=0.6, leader",96,CI=CD (exact),0.9999999999999996,
leader-follower,"gamma=0.6, isolate",96,CI=CD (exact),0.9999999999999996,
leader-follower,"gamma=0.9, leader",96,CI=CD (exact),0.9999999999999996,
leader-follower,"gamma=0.9, isolate",96,CI=CD (exact),0.9999999999999996,
leader-follower,"gamma=0.0, follower",1,CD (sandwich upper=1.0),0.3599999999999999,0.6400000000000001
leader-follower,"gamma=0.0, follower",5,CD (sandwich upper=1.0),0.8926258175999999,0.10737418240000007
leader-follower,"gamma=0.0, follower",10,CD (sandwich upper=1.0),0.9884707849539317,0.011529215046068297
leader-follower,"gamma=0.0, follower",50,CD (sandwich upper=1.0),0.9999999997962961,2.0370394260282865e-10
leader-follower,"gamma=0.0, follower",96,CD (sandwich upper=1.0),0.9999999999999996,4.440892098500626e-16
leader-follower,"gamma=0.3, follower",1,CD (sandwich upper=1.0),0.12831683168316824,0.8716831683168318
leader-follower,"gamma=0.3, follower",5,CD (sandwich upper=1.0),0.5906359295999999,0.4093640704000001
leader-follower,"gamma=0.3, follower",10,CD (sandwich upper=1.0),0.8947245685521124,0.10527543144788765
leader-follower,"gamma=0.3, follower",50,CD (sandwich upper=1.0),0.9999999710937537,2.8906246285487214e-08
leader-follower,"gamma=0.3, follower",96,CD (sandwich upper=1.0),1.0000000000000002,0.0
leader-follower,"gamma=0.6, follower",1,CD (sandwich upper=1.0),0.052258064516129,0.947741935483871
leader-follower,"gamma=0.6, follower",5,CD (sandwich upper=1.0),0.4591242041806449,0.5408757958193551
leader-follower,"gamma=0.6, follower",10,CD (sandwich upper=1.0),0.8483071423575748,0.15169285764242524
leader-follower,"gamma=0.6, follower",50,CD (sandwich upper=1.0),0.9999999541477991,4.5852200925011743e-08
leader-follower,"gamma=0.6, follower",96,CD (sandwich upper=1.0),1.0000000000000007,0.0
leader-follower,"gamma=0.9, follower",1,CD (sandwich upper=1.0),0.0271698113207547,0.9728301886792453
leader-follower,"gamma=0.9, follower",5,CD (sandwich upper=1.0),0.40830241231698106,0.5916975876830189
leader-follower,"gamma=0.9, follower",10,CD (sandwich upper=1.0),0.8294002471720905,0.1705997528279095
leader-follower,"gamma=0.9, follower",50,CD (sandwich upper=1.0),0.9999999468285572,5.317144280425623e-08
leader-follower,"gamma=0.9, follower",96,CD (sandwich upper=1.0),1.0000000000000004,0.0
