mode,pred_len,seed,test_mse,test_mae,best_epoch,batch_size,steps_per_epoch,total_steps_to_best,warmup_epochs,min_epochs,max_epochs
CD,96,42,0.46726733,0.46882314,5,32,252,1260,10,15,100
CD,96,123,0.49069993,0.48538035,14,32,252,3528,10,15,100
CD,96,456,0.48860456,0.4882033,14,32,252,3528,10,15,100
CD,96,789,0.47010122,0.46967813,4,32,252,1008,10,15,100
CD,96,1011,0.50819361,0.50356095,15,32,252,3780,10,15,100
CI,96,42,0.46176631,0.46095295,12,32,252,3024,10,15,100
CI,96,123,0.45750887,0.46017825,9,32,252,2268,10,15,100
CI,96,456,0.45625254,0.45945302,11,32,252,2772,10,15,100
CI,96,789,0.46241616,0.46035866,11,32,252,2772,10,15,100
CI,96,1011,0.45987936,0.4619437,12,32,252,3024,10,15,100
CD,192,42,0.52794785,0.50470315,3,32,249,747,10,15,100
CD,192,123,0.51982939,0.5009986,3,32,249,747,10,15,100
CD,192,456,0.6493388,0.59336486,11,32,249,2739,10,15,100
CD,192,789,0.52057502,0.4997929,3,32,249,747,10,15,100
CD,192,1011,0.52721713,0.50466768,3,32,249,747,10,15,100
CI,192,42,0.51534444,0.49610216,3,32,249,747,10,15,100
CI,192,123,0.51093334,0.49703124,3,32,249,747,10,15,100
CI,192,456,0.54174636,0.51359114,2,32,249,498,10,15,100
CI,192,789,0.51262623,0.49373785,3,32,249,747,10,15,100
CI,192,1011,0.50198113,0.48656516,5,32,249,1245,10,15,100
CD,336,42,0.60124229,0.54613042,2,32,244,488,10,15,100
CD,336,123,0.5991979,0.54455481,2,32,244,488,10,15,100
CD,336,456,0.57173518,0.53170864,3,32,244,732,10,15,100
CD,336,789,0.56763854,0.52850569,3,32,244,732,10,15,100
CD,336,1011,0.60273873,0.54618224,2,32,244,488,10,15,100
CI,336,42,0.58180086,0.53710866,2,32,244,488,10,15,100
CI,336,123,0.5780976,0.5356283,2,32,244,488,10,15,100
CI,336,456,0.58537063,0.53955606,2,32,244,488,10,15,100
CI,336,789,0.58242343,0.538255,2,32,244,488,10,15,100
CI,336,1011,0.58072091,0.53611061,2,32,244,488,10,15,100
CD,720,42,0.72907118,0.61729145,2,32,232,464,10,15,100
CD,720,123,0.73102487,0.61872321,2,32,232,464,10,15,100
CD,720,456,0.74556301,0.62325776,2,32,232,464,10,15,100
CD,720,789,0.73394655,0.61757037,2,32,232,464,10,15,100
CD,720,1011,0.72973685,0.61771814,2,32,232,464,10,15,100
CI,720,42,0.70462644,0.60955224,2,32,232,464,10,15,100
CI,720,123,0.70353703,0.61061994,2,32,232,464,10,15,100
CI,720,456,0.71298833,0.61522607,2,32,232,464,10,15,100
CI,720,789,0.7044973,0.60975571,2,32,232,464,10,15,100
CI,720,1011,0.70241656,0.60891131,2,32,232,464,10,15,100
