mode,pred_len,seed,window_start,sq_err,abs_err
CD,96,42,11520,0.2581559717655182,0.36695584654808044
CD,96,42,11521,0.2539956569671631,0.367909699678421
CD,96,42,11522,0.2571656107902527,0.36826419830322266
CD,96,42,11523,0.2605651617050171,0.3662380874156952
CD,96,42,11524,0.24046142399311066,0.3541725277900696
CD,96,42,11525,0.2370227724313736,0.3512723743915558
CD,96,42,11526,0.22356219589710236,0.3458409011363983
CD,96,42,11527,0.23398321866989136,0.3468968868255615
CD,96,42,11528,0.23336206376552582,0.35373085737228394
CD,96,42,11529,0.22988829016685486,0.3499129116535187
CD,96,42,11530,0.2255346179008484,0.3468971848487854
CD,96,42,11531,0.2332097440958023,0.3492662012577057
CD,96,42,11532,0.21781158447265625,0.3371334671974182
CD,96,42,11533,0.2141534686088562,0.33752933144569397
CD,96,42,11534,0.20842741429805756,0.32874101400375366
CD,96,42,11535,0.22574229538440704,0.34569400548934937
CD,96,42,11536,0.2224888652563095,0.3435506522655487
CD,96,42,11537,0.22375454008579254,0.34336960315704346
CD,96,42,11538,0.22372020781040192,0.345027893781662
CD,96,42,11539,0.2365051507949829,0.35337361693382263
CD,96,42,11540,0.2266719490289688,0.34772080183029175
CD,96,42,11541,0.22726422548294067,0.3541673421859741
CD,96,42,11542,0.2305232733488083,0.35560598969459534
CD,96,42,11543,0.2433256208896637,0.36283135414123535
CD,96,42,11544,0.24511639773845673,0.3701910972595215
CD,96,42,11545,0.2501603662967682,0.3803105652332306
CD,96,42,11546,0.25945210456848145,0.38091781735420227
CD,96,42,11547,0.27594467997550964,0.37991970777511597
CD,96,42,11548,0.27410539984703064,0.3733732998371124
CD,96,42,11549,0.2641189396381378,0.3660956025123596
CD,96,42,11550,0.26459571719169617,0.36666280031204224
CD,96,42,11551,0.2817375659942627,0.38133496046066284
CD,96,42,11552,0.2743282914161682,0.3813466727733612
CD,96,42,11553,0.26526838541030884,0.3739941120147705
CD,96,42,11554,0.27332526445388794,0.37242114543914795
CD,96,42,11555,0.29521358013153076,0.38346099853515625
CD,96,42,11556,0.28017163276672363,0.368899405002594
CD,96,42,11557,0.28790992498397827,0.37719905376434326
CD,96,42,11558,0.27513545751571655,0.3751961290836334
CD,96,42,11559,0.2950533330440521,0.38546499609947205
CD,96,42,11560,0.27655142545700073,0.37482526898384094
CD,96,42,11561,0.2710692286491394,0.37604936957359314
CD,96,42,11562,0.2831977605819702,0.38005584478378296
CD,96,42,11563,0.3052516281604767,0.38849303126335144
CD,96,42,11564,0.29638057947158813,0.38784846663475037
CD,96,42,11565,0.29806774854660034,0.3879106640815735
CD,96,42,11566,0.28758934140205383,0.3872074782848358
CD,96,42,11567,0.31000852584838867,0.39432430267333984
CD,96,42,11568,0.3022210896015167,0.39791589975357056
CD,96,42,11569,0.28823238611221313,0.3934560716152191
CD,96,42,11570,0.29068347811698914,0.395337849855423
CD,96,42,11571,0.30769965052604675,0.3985019028186798
CD,96,42,11572,0.2726142704486847,0.3853532373905182
CD,96,42,11573,0.24617168307304382,0.3687359094619751
