dataset,C,rho,empirical_rho,mode,pred_len,test_mse,test_mae,best_epoch,seed,batch_size,steps_per_epoch,total_steps
synthetic_ar1,84,0.5,0.491419,CI,96,0.992817,0.794465,17,42,32,252,4284
synthetic_ar1,84,0.5,0.502314,CI,96,1.003359,0.795803,13,123,32,252,3276
synthetic_ar1,84,0.5,0.491915,CI,96,1.028923,0.808281,9,456,32,252,2268
synthetic_ar1,84,0.5,0.489239,CI,96,1.022158,0.804171,12,789,32,252,3024
synthetic_ar1,84,0.5,0.50135,CI,96,0.990914,0.79308,12,1011,32,252,3024
synthetic_ar1,84,0.5,0.491419,CD,96,0.994288,0.795116,6,42,8,1005,6030
synthetic_ar1,84,0.5,0.502314,CD,96,1.001801,0.79531,6,123,8,1005,6030
synthetic_ar1,84,0.5,0.491915,CD,96,1.029903,0.808722,7,456,8,1005,7035
synthetic_ar1,84,0.5,0.489239,CD,96,1.018587,0.803061,6,789,8,1005,6030
synthetic_ar1,84,0.5,0.50135,CD,96,0.977866,0.787615,7,1011,8,1005,7035
synthetic_ar1,84,0.5,0.491419,CD_Block,96,0.992894,0.794579,6,42,8,1005,6030
synthetic_ar1,84,0.5,0.502314,CD_Block,96,1.003001,0.795788,6,123,8,1005,6030
synthetic_ar1,84,0.5,0.491915,CD_Block,96,1.028059,0.807948,7,456,8,1005,7035
synthetic_ar1,84,0.5,0.489239,CD_Block,96,1.022134,0.804093,10,789,8,1005,10050
synthetic_ar1,84,0.5,0.50135,CD_Block,96,0.978735,0.788016,7,1011,8,1005,7035
