dataset,lag,mean_abs_r,median_abs_r,max_abs_r
ETTh1,0,0.311013,0.232797,0.983724
ETTh1,1,0.29668,0.219122,0.919114
ETTh1,2,0.285226,0.232731,0.839241
ETTh1,3,0.276393,0.223508,0.801347
ETTh1,4,0.266987,0.222659,0.763958
ETTh1,5,0.257554,0.23636,0.733749
ETTh1,6,0.252165,0.237082,0.711114
ETTh1,7,0.245859,0.209985,0.693144
ETTh1,8,0.237483,0.201647,0.680445
ETTh1,9,0.232678,0.199415,0.673071
ETTh1,10,0.229122,0.2043,0.662498
ETTh1,11,0.225622,0.191104,0.655296
ETTh1,12,0.222545,0.188226,0.65059
ETTh1,13,0.223667,0.191786,0.650717
ETTh1,14,0.225173,0.198004,0.654205
ETTh1,15,0.226617,0.203478,0.661521
ETTh1,16,0.229926,0.190828,0.664376
ETTh1,17,0.233939,0.188904,0.67182
ETTh1,18,0.235477,0.20327,0.683012
ETTh1,19,0.235975,0.198787,0.697783
ETTh1,20,0.240867,0.19883,0.71989
ETTh1,21,0.245268,0.196781,0.747404
ETTh1,22,0.248599,0.181978,0.770663
ETTh1,23,0.254324,0.191269,0.791602
ETTh1,24,0.259484,0.19063,0.806617
ETTh1,25,0.253251,0.182078,0.787606
ETTh1,26,0.246787,0.179911,0.763285
ETTh1,27,0.242804,0.189097,0.735649
ETTh1,28,0.237172,0.194174,0.705233
ETTh1,29,0.231049,0.190929,0.680445
ETTh1,30,0.228854,0.189395,0.663533
ETTh1,31,0.22583,0.176531,0.649501
ETTh1,32,0.22022,0.17108,0.642099
ETTh1,33,0.216186,0.181933,0.638072
ETTh1,34,0.21357,0.182536,0.629557
ETTh1,35,0.210776,0.168863,0.624615
ETTh1,36,0.208773,0.169545,0.620656
ETTh1,37,0.209816,0.175227,0.619793
ETTh1,38,0.211745,0.181587,0.624199
ETTh1,39,0.213697,0.17908,0.633601
ETTh1,40,0.217044,0.172495,0.635906
ETTh1,41,0.222372,0.17871,0.641877
ETTh1,42,0.225096,0.200784,0.652575
ETTh1,43,0.227843,0.204724,0.66761
ETTh1,44,0.23382,0.207294,0.689249
ETTh1,45,0.239504,0.200978,0.715354
ETTh1,46,0.243982,0.18816,0.738278
ETTh1,47,0.250494,0.199474,0.759328
ETTh1,48,0.2575,0.201055,0.77529
ECL,0,0.502687,0.482602,0.999993
ECL,1,0.478711,0.468628,0.947806
ECL,2,0.424336,0.42341,0.937198
ECL,3,0.357316,0.350451,0.899974
ECL,4,0.287581,0.278326,0.870928
ECL,5,0.225639,0.205353,0.830963
ECL,6,0.193965,0.161996,0.781091
ECL,7,0.204634,0.177165,0.778244
ECL,8,0.235972,0.220838,0.750467
ECL,9,0.268234,0.259138,0.810953
ECL,10,0.291838,0.278835,0.82582
ECL,11,0.304841,0.285644,0.872135
ECL,12,0.308592,0.287682,0.889971
ECL,13,0.304202,0.284834,0.871891
ECL,14,0.291015,0.277606,0.825813
ECL,15,0.267584,0.257362,0.810724
ECL,16,0.235253,0.219285,0.731015
ECL,17,0.20306,0.175255,0.725307
ECL,18,0.190853,0.157973,0.750225
ECL,19,0.220627,0.198731,0.816176
ECL,20,0.281307,0.270167,0.864373
ECL,21,0.349762,0.341167,0.896265
ECL,22,0.415344,0.412196,0.927995
ECL,23,0.468439,0.458727,0.940306
ECL,24,0.491271,0.472208,0.970565
ECL,25,0.468481,0.458482,0.940216
ECL,26,0.415235,0.41239,0.926811
ECL,27,0.349439,0.340692,0.892928
ECL,28,0.281116,0.270237,0.854294
ECL,29,0.221211,0.199457,0.811616
ECL,30,0.192867,0.161011,0.742957
ECL,31,0.206387,0.179421,0.736272
ECL,32,0.239084,0.224381,0.735313
ECL,33,0.271706,0.262394,0.815301
ECL,34,0.295328,0.281265,0.830156
ECL,35,0.308231,0.288271,0.875056
ECL,36,0.311969,0.290693,0.891983
ECL,37,0.307579,0.287782,0.874037
ECL,38,0.294336,0.280486,0.827965
ECL,39,0.270737,0.260439,0.813217
ECL,40,0.23802,0.222121,0.733813
ECL,41,0.204776,0.1775,0.728939
ECL,42,0.190559,0.157909,0.733398
ECL,43,0.218302,0.195345,0.80921
ECL,44,0.277876,0.266168,0.851435
ECL,45,0.345645,0.337565,0.889071
ECL,46,0.410572,0.408454,0.920987
ECL,47,0.463114,0.455044,0.936381
ECL,48,0.485734,0.468927,0.967622
