dataset,C,rho,gamma,mode,seed,test_mse,test_mae,best_epoch,batch_size,steps_per_epoch,total_steps
leader_follower_var1,21,0.5,0.0,CI,42,0.9626487092754227,0.7833000113151104,22,128,63,1386
leader_follower_var1,21,0.5,0.0,CI,123,1.0101802202758488,0.8005447695110912,31,128,63,1953
leader_follower_var1,21,0.5,0.0,CI,456,1.0542527868505978,0.8192154894041683,28,128,63,1764
leader_follower_var1,21,0.5,0.0,CI,789,1.0713302939113576,0.8288601241486935,27,128,63,1701
leader_follower_var1,21,0.5,0.0,CI,1011,1.0366861460875687,0.8117978589345072,20,128,63,1260
leader_follower_var1,21,0.5,0.0,CD,42,0.9642902722414413,0.7839346862178777,7,8,1005,7035
leader_follower_var1,21,0.5,0.0,CD,123,1.0104563971759695,0.800559666940309,7,8,1005,7035
leader_follower_var1,21,0.5,0.0,CD,456,1.058682407486799,0.8210610254975396,7,8,1005,7035
leader_follower_var1,21,0.5,0.0,CD,789,1.0682221073282792,0.827636783056868,7,8,1005,7035
leader_follower_var1,21,0.5,0.0,CD,1011,1.0418485570179852,0.813956023532927,7,8,1005,7035
leader_follower_var1,21,0.5,0.0,CD_Block,42,0.9645162081088928,0.7840131135848287,7,8,1005,7035
leader_follower_var1,21,0.5,0.0,CD_Block,123,1.0100287588476191,0.800392692745519,7,8,1005,7035
leader_follower_var1,21,0.5,0.0,CD_Block,456,1.0536818427179906,0.8191765891300974,7,8,1005,7035
leader_follower_var1,21,0.5,0.0,CD_Block,789,1.0678065790967002,0.8275226513659599,7,8,1005,7035
leader_follower_var1,21,0.5,0.0,CD_Block,1011,1.0404602280517137,0.8134278983708331,7,8,1005,7035
leader_follower_var1,21,0.5,0.3,CI,42,0.9418748293731538,0.774820160531629,19,128,63,1197
leader_follower_var1,21,0.5,0.3,CI,123,0.9998328511590514,0.7954275906038101,18,128,63,1134
leader_follower_var1,21,0.5,0.3,CI,456,1.073271685758324,0.8249316831112211,18,128,63,1134
leader_follower_var1,21,0.5,0.3,CI,789,1.0979355099535872,0.8380310238887405,17,128,63,1071
leader_follower_var1,21,0.5,0.3,CI,1011,1.0498427682477707,0.8179538293574414,17,128,63,1071
leader_follower_var1,21,0.5,0.3,CD,42,0.9445413465299218,0.7756405631262439,7,8,1005,7035
leader_follower_var1,21,0.5,0.3,CD,123,1.0025831343782194,0.7961638276822193,6,8,1005,6030
leader_follower_var1,21,0.5,0.3,CD,456,1.0823931980101755,0.8293029522174725,7,8,1005,7035
leader_follower_var1,21,0.5,0.3,CD,789,1.1073084374982696,0.8419757425555718,7,8,1005,7035
