dataset,cell,C,rho_in,rho_out,group_size,mode,seed,test_mse,test_mae,best_epoch,batch_size,steps_per_epoch,total_steps
block_cov_ar1,block_C21_rhoin0.5,21,0.5,0.0,7,CI,42,0.9739247978610622,0.7860319776259785,34,128,63,2142
block_cov_ar1,block_C21_rhoin0.5,21,0.5,0.0,7,CI,123,1.0002649455750825,0.7959022019292209,31,128,63,1953
block_cov_ar1,block_C21_rhoin0.5,21,0.5,0.0,7,CI,456,1.0391494160333696,0.8151922318056952,28,128,63,1764
block_cov_ar1,block_C21_rhoin0.5,21,0.5,0.0,7,CI,789,0.9940174422372888,0.7964089268365178,29,128,63,1827
block_cov_ar1,block_C21_rhoin0.5,21,0.5,0.0,7,CI,1011,1.008721780147295,0.8013026745942272,23,128,63,1449
block_cov_ar1,block_C21_rhoin0.5,21,0.5,0.0,7,CD,42,0.9769450394476038,0.7873486121064344,11,8,1005,11055
block_cov_ar1,block_C21_rhoin0.5,21,0.5,0.0,7,CD,123,1.001513124568676,0.7964164393118924,6,8,1005,6030
block_cov_ar1,block_C21_rhoin0.5,21,0.5,0.0,7,CD,456,1.0422145768996205,0.8164207976041178,7,8,1005,7035
block_cov_ar1,block_C21_rhoin0.5,21,0.5,0.0,7,CD,789,0.9980974973985032,0.7980357627039376,7,8,1005,7035
block_cov_ar1,block_C21_rhoin0.5,21,0.5,0.0,7,CD,1011,1.01108596786094,0.8023584294838116,9,8,1005,9045
block_cov_ar1,block_C21_rhoin0.5,21,0.5,0.0,7,DLinear,42,0.974815307009389,0.7866217620725791,49,128,63,3087
block_cov_ar1,block_C21_rhoin0.5,21,0.5,0.0,7,DLinear,123,1.0040360375628932,0.7976190714877112,48,128,63,3024
block_cov_ar1,block_C21_rhoin0.5,21,0.5,0.0,7,DLinear,456,1.0424976064504203,0.8167237850604753,50,128,63,3150
block_cov_ar1,block_C21_rhoin0.5,21,0.5,0.0,7,DLinear,789,0.9968587202075434,0.7975457264944675,50,128,63,3150
block_cov_ar1,block_C21_rhoin0.5,21,0.5,0.0,7,DLinear,1011,1.0098823495843197,0.8020386034578628,50,128,63,3150
block_cov_ar1,block_C21_rhoin0.9,21,0.9,0.0,7,CI,42,0.9825916698527922,0.7937853992739126,6,128,63,378
block_cov_ar1,block_C21_rhoin0.9,21,0.9,0.0,7,CI,123,1.0567340264902338,0.8184460182486435,14,128,63,882
block_cov_ar1,block_C21_rhoin0.9,21,0.9,0.0,7,CI,456,1.0834359242590297,0.8354354397115203,4,128,63,252
block_cov_ar1,block_C21_rhoin0.9,21,0.9,0.0,7,CI,789,0.978426782424502,0.7934048168436058,6,128,63,378
block_cov_ar1,block_C21_rhoin0.9,21,0.9,0.0,7,CI,1011,1.031442981554515,0.8138625801659753,6,128,63,378
block_cov_ar1,block_C21_rhoin0.9,21,0.9,0.0,7,CD,42,0.9763286729019748,0.7903684608989539,6,8,1005,6030
block_cov_ar1,block_C21_rhoin0.9,21,0.9,0.0,7,CD,123,1.059062750697688,0.8195718659195079,4,8,1005,4020
block_cov_ar1,block_C21_rhoin0.9,21,0.9,0.0,7,CD,456,1.074740725704619,0.8319244192697474,2,8,1005,2010
block_cov_ar1,block_C21_rhoin0.9,21,0.9,0.0,7,CD,789,0.964291334849834,0.7873656843545039,6,8,1005,6030
block_cov_ar1,block_C21_rhoin0.9,21,0.9,0.0,7,CD,1011,1.027257634366033,0.8121951463924295,2,8,1005,2010
block_cov_ar1,block_C21_rhoin0.9,21,0.9,0.0,7,DLinear,42,0.9801434132963568,0.7918066700175542,50,128,63,3150
block_cov_ar1,block_C21_rhoin0.9,21,0.9,0.0,7,DLinear,123,1.0583296193692868,0.8186448373962981,50,128,63,3150
block_cov_ar1,block_C21_rhoin0.9,21,0.9,0.0,7,DLinear,456,1.0893207193856975,0.8373742401035884,50,128,63,3150
block_cov_ar1,block_C21_rhoin0.9,21,0.9,0.0,7,DLinear,789,0.9678188254686224,0.7888374048635989,50,128,63,3150
block_cov_ar1,block_C21_rhoin0.9,21,0.9,0.0,7,DLinear,1011,1.032790241448308,0.8140231992225417,49,128,63,3087
block_cov_ar1,block_C84_rhoin0.5,84,0.5,0.0,7,CI,42,0.9854139031869004,0.7912887398915699,32,32,252,8064
block_cov_ar1,block_C84_rhoin0.5,84,0.5,0.0,7,CI,123,0.9949730078256108,0.794617408245925,19,32,252,4788
block_cov_ar1,block_C84_rhoin0.5,84,0.5,0.0,7,CI,456,0.97561420596273,0.7881036973573813,15,32,252,3780
block_cov_ar1,block_C84_rhoin0.5,84,0.5,0.0,7,CI,789,1.0048612829122103,0.7981889114282383,19,32,252,4788
block_cov_ar1,block_C84_rhoin0.5,84,0.5,0.0,7,CI,1011,1.0056215720113129,0.7984472982089225,15,32,252,3780
block_cov_ar1,block_C84_rhoin0.5,84,0.5,0.0,7,CD,42,0.9857228089529716,0.7913662672021202,7,1,8033,56231
block_cov_ar1,block_C84_rhoin0.5,84,0.5,0.0,7,CD,123,0.9951715506988128,0.7946697793170627,6,1,8033,48198
block_cov_ar1,block_C84_rhoin0.5,84,0.5,0.0,7,CD,456,0.9776014311313512,0.7888773179841613,4,1,8033,32132
block_cov_ar1,block_C84_rhoin0.5,84,0.5,0.0,7,CD,789,1.0050502405989843,0.7982030914922325,7,1,8033,56231
block_cov_ar1,block_C84_rhoin0.5,84,0.5,0.0,7,CD,1011,1.005576206712593,0.7983986662065504,7,1,8033,56231
block_cov_ar1,block_C84_rhoin0.5,84,0.5,0.0,7,DLinear,42,0.9867516403363936,0.792039597485405,50,128,63,3150
block_cov_ar1,block_C84_rhoin0.5,84,0.5,0.0,7,DLinear,123,0.9965423717606268,0.7955363805624079,49,128,63,3087
block_cov_ar1,block_C84_rhoin0.5,84,0.5,0.0,7,DLinear,456,0.9764561139568012,0.78870102613976,50,128,63,3150
block_cov_ar1,block_C84_rhoin0.5,84,0.5,0.0,7,DLinear,789,1.0053943554675224,0.7985928925012133,50,128,63,3150
block_cov_ar1,block_C84_rhoin0.5,84,0.5,0.0,7,DLinear,1011,1.006447901227051,0.7990033141707519,49,128,63,3087
block_cov_ar1,block_C84_rhoin0.9,84,0.9,0.0,7,CI,42,0.9793942654021042,0.7896074432994697,12,32,252,3024
block_cov_ar1,block_C84_rhoin0.9,84,0.9,0.0,7,CI,123,1.0218374670167465,0.8028412351931342,14,32,252,3528
block_cov_ar1,block_C84_rhoin0.9,84,0.9,0.0,7,CI,456,0.9910530241802143,0.7949771702221735,13,32,252,3276
block_cov_ar1,block_C84_rhoin0.9,84,0.9,0.0,7,CI,789,1.0079247997177032,0.7985675632939075,12,32,252,3024
block_cov_ar1,block_C84_rhoin0.9,84,0.9,0.0,7,CI,1011,1.019958412659984,0.8061297591992489,11,32,252,2772
block_cov_ar1,block_C84_rhoin0.9,84,0.9,0.0,7,CD,42,0.9796610117293272,0.7896068375788542,3,1,8033,24099
block_cov_ar1,block_C84_rhoin0.9,84,0.9,0.0,7,CD,123,1.0220439034914048,0.8029706749022234,3,1,8033,24099
block_cov_ar1,block_C84_rhoin0.9,84,0.9,0.0,7,CD,456,0.9919493398870903,0.7953773354524001,3,1,8033,24099
block_cov_ar1,block_C84_rhoin0.9,84,0.9,0.0,7,CD,789,1.007964061138506,0.7984227227026183,3,1,8033,24099
block_cov_ar1,block_C84_rhoin0.9,84,0.9,0.0,7,CD,1011,1.018608636993071,0.8054862474565894,3,1,8033,24099
block_cov_ar1,block_C84_rhoin0.9,84,0.9,0.0,7,DLinear,42,0.9805473460992221,0.7901627874223546,50,128,63,3150
block_cov_ar1,block_C84_rhoin0.9,84,0.9,0.0,7,DLinear,123,1.0206059092973327,0.8024762695019256,50,128,63,3150
block_cov_ar1,block_C84_rhoin0.9,84,0.9,0.0,7,DLinear,456,0.9910846449914106,0.7952422947589544,50,128,63,3150
block_cov_ar1,block_C84_rhoin0.9,84,0.9,0.0,7,DLinear,789,1.0071137960220566,0.7984024137465607,50,128,63,3150
block_cov_ar1,block_C84_rhoin0.9,84,0.9,0.0,7,DLinear,1011,1.017473413173058,0.8052728960223186,50,128,63,3150
