dataset,C,rho,gamma,patch_size,mode,seed,test_mse,test_mae,best_epoch,batch_size,steps_per_epoch,total_steps
leader_follower_var1,21,0.5,0.0,8,CI,42,0.984898,0.791612,16,128,104,1664
leader_follower_var1,21,0.5,0.0,8,CI,123,0.992159,0.793527,19,128,104,1976
leader_follower_var1,21,0.5,0.0,8,CI,456,0.959031,0.780921,28,128,104,2912
leader_follower_var1,21,0.5,0.0,8,CD,42,0.986104,0.79203,6,8,1674,10044
leader_follower_var1,21,0.5,0.0,8,CD,123,0.993275,0.793941,4,8,1674,6696
leader_follower_var1,21,0.5,0.0,8,CD,456,0.959519,0.78119,12,8,1674,20088
leader_follower_var1,21,0.5,0.3,8,CI,42,0.967987,0.785783,20,128,104,2080
leader_follower_var1,21,0.5,0.3,8,CI,123,0.991907,0.792882,13,128,104,1352
leader_follower_var1,21,0.5,0.3,8,CI,456,0.965395,0.783097,18,128,104,1872
leader_follower_var1,21,0.5,0.3,8,CD,42,0.968576,0.786001,7,8,1674,11718
leader_follower_var1,21,0.5,0.3,8,CD,123,0.993067,0.793282,4,8,1674,6696
leader_follower_var1,21,0.5,0.3,8,CD,456,0.967592,0.783782,9,8,1674,15066
leader_follower_var1,21,0.5,0.6,8,CI,42,0.958194,0.780476,20,128,104,2080
leader_follower_var1,21,0.5,0.6,8,CI,123,0.994788,0.792697,9,128,104,936
leader_follower_var1,21,0.5,0.6,8,CI,456,0.96552,0.782837,18,128,104,1872
leader_follower_var1,21,0.5,0.6,8,CD,42,0.959836,0.781198,7,8,1674,11718
leader_follower_var1,21,0.5,0.6,8,CD,123,0.994011,0.791975,4,8,1674,6696
leader_follower_var1,21,0.5,0.6,8,CD,456,0.96992,0.784728,6,8,1674,10044
leader_follower_var1,21,0.5,0.9,8,CI,42,0.954488,0.77803,20,128,104,2080
leader_follower_var1,21,0.5,0.9,8,CI,123,0.995041,0.792264,9,128,104,936
leader_follower_var1,21,0.5,0.9,8,CI,456,0.96487,0.782533,18,128,104,1872
leader_follower_var1,21,0.5,0.9,8,CD,42,0.956552,0.779037,5,8,1674,8370
leader_follower_var1,21,0.5,0.9,8,CD,123,0.994539,0.791577,4,8,1674,6696
leader_follower_var1,21,0.5,0.9,8,CD,456,0.969092,0.784235,3,8,1674,5022
leader_follower_var1,21,0.5,0.0,16,CI,42,0.98335,0.790978,27,128,104,2808
leader_follower_var1,21,0.5,0.0,16,CI,123,0.990499,0.792783,26,128,104,2704
leader_follower_var1,21,0.5,0.0,16,CI,456,0.957264,0.780095,26,128,104,2704
leader_follower_var1,21,0.5,0.0,16,CD,42,0.984485,0.791376,6,8,1674,10044
leader_follower_var1,21,0.5,0.0,16,CD,123,0.990659,0.792784,5,8,1674,8370
leader_follower_var1,21,0.5,0.0,16,CD,456,0.958333,0.780582,7,8,1674,11718
leader_follower_var1,21,0.5,0.3,16,CI,42,0.966746,0.785273,28,128,104,2912
leader_follower_var1,21,0.5,0.3,16,CI,123,0.988089,0.79133,16,128,104,1664
leader_follower_var1,21,0.5,0.3,16,CI,456,0.963547,0.782329,16,128,104,1664
leader_follower_var1,21,0.5,0.3,16,CD,42,0.967068,0.78544,6,8,1674,10044
leader_follower_var1,21,0.5,0.3,16,CD,123,0.987588,0.791071,5,8,1674,8370
leader_follower_var1,21,0.5,0.3,16,CD,456,0.964339,0.782538,5,8,1674,8370
leader_follower_var1,21,0.5,0.6,16,CI,42,0.957194,0.780042,28,128,104,2912
leader_follower_var1,21,0.5,0.6,16,CI,123,0.986974,0.789166,16,128,104,1664
leader_follower_var1,21,0.5,0.6,16,CI,456,0.96445,0.782393,16,128,104,1664
leader_follower_var1,21,0.5,0.6,16,CD,42,0.957148,0.780237,6,8,1674,10044
leader_follower_var1,21,0.5,0.6,16,CD,123,0.987505,0.789275,5,8,1674,8370
leader_follower_var1,21,0.5,0.6,16,CD,456,0.96566,0.78275,5,8,1674,8370
leader_follower_var1,21,0.5,0.9,16,CI,42,0.952102,0.777213,19,128,104,1976
leader_follower_var1,21,0.5,0.9,16,CI,123,0.986742,0.788388,16,128,104,1664
leader_follower_var1,21,0.5,0.9,16,CI,456,0.964147,0.782202,16,128,104,1664
leader_follower_var1,21,0.5,0.9,16,CD,42,0.953649,0.777993,6,8,1674,10044
leader_follower_var1,21,0.5,0.9,16,CD,123,0.987876,0.788744,5,8,1674,8370
leader_follower_var1,21,0.5,0.9,16,CD,456,0.965764,0.782747,4,8,1674,6696
leader_follower_var1,21,0.5,0.0,8,CI,789,1.00492346,0.80210948,16,128,104,1664
leader_follower_var1,21,0.5,0.0,8,CI,1011,0.96605471,0.78471771,18,128,104,1872
leader_follower_var1,21,0.5,0.0,8,CD,789,1.00626493,0.80265338,4,8,1674,6696
leader_follower_var1,21,0.5,0.0,8,CD,1011,0.96869987,0.78585283,9,8,1674,15066
leader_follower_var1,21,0.5,0.3,8,CI,789,1.00094593,0.79879458,48,128,104,4992
leader_follower_var1,21,0.5,0.3,8,CI,1011,0.96173975,0.78175725,23,128,104,2392
leader_follower_var1,21,0.5,0.3,8,CD,789,1.0006196,0.7987753,6,8,1674,10044
leader_follower_var1,21,0.5,0.3,8,CD,1011,0.96270435,0.78213329,11,8,1674,18414
leader_follower_var1,21,0.5,0.6,8,CI,789,1.00534984,0.79925643,24,128,104,2496
leader_follower_var1,21,0.5,0.6,8,CI,1011,0.95026672,0.77634558,23,128,104,2392
leader_follower_var1,21,0.5,0.6,8,CD,789,1.00335287,0.79859129,4,8,1674,6696
leader_follower_var1,21,0.5,0.6,8,CD,1011,0.95128715,0.77672184,5,8,1674,8370
leader_follower_var1,21,0.5,0.9,8,CI,789,1.00967733,0.80020978,24,128,104,2496
leader_follower_var1,21,0.5,0.9,8,CI,1011,0.94737327,0.77499987,16,128,104,1664
leader_follower_var1,21,0.5,0.9,8,CD,789,1.00644598,0.79920715,4,8,1674,6696
leader_follower_var1,21,0.5,0.9,8,CD,1011,0.94682248,0.77475994,5,8,1674,8370
leader_follower_var1,21,0.5,0.0,16,CI,789,1.00324768,0.80145097,20,128,104,2080
leader_follower_var1,21,0.5,0.0,16,CI,1011,0.9657409,0.78461666,24,128,104,2496
leader_follower_var1,21,0.5,0.0,16,CD,789,1.0040889,0.8017711,6,8,1674,10044
leader_follower_var1,21,0.5,0.0,16,CD,1011,0.96863496,0.78579051,10,8,1674,16740
leader_follower_var1,21,0.5,0.3,16,CI,789,0.9968081,0.79721626,47,128,104,4888
leader_follower_var1,21,0.5,0.3,16,CI,1011,0.96075416,0.78138571,19,128,104,1976
leader_follower_var1,21,0.5,0.3,16,CD,789,0.99681907,0.79716241,6,8,1674,10044
leader_follower_var1,21,0.5,0.3,16,CD,1011,0.96223427,0.78193969,8,8,1674,13392
leader_follower_var1,21,0.5,0.6,16,CI,789,1.00304331,0.79858108,47,128,104,4888
leader_follower_var1,21,0.5,0.6,16,CI,1011,0.94983011,0.77618817,19,128,104,1976
leader_follower_var1,21,0.5,0.6,16,CD,789,1.00157229,0.79778866,6,8,1674,10044
leader_follower_var1,21,0.5,0.6,16,CD,1011,0.95205483,0.77703674,8,8,1674,13392
leader_follower_var1,21,0.5,0.9,16,CI,789,1.00720214,0.79960328,47,128,104,4888
leader_follower_var1,21,0.5,0.9,16,CI,1011,0.94469402,0.77391581,19,128,104,1976
leader_follower_var1,21,0.5,0.9,16,CD,789,1.00477813,0.79841649,6,8,1674,10044
leader_follower_var1,21,0.5,0.9,16,CD,1011,0.94780349,0.77514103,8,8,1674,13392
leader_follower_var1,21,0.5,0.6,2,CI,789,1.00782397,0.80013602,19,128,104,1976
leader_follower_var1,21,0.5,0.6,2,CI,1011,0.95682674,0.77894735,24,128,104,2496
