dataset,cell,C,rho,gamma,mode,seed,test_mse,test_mae,best_epoch,batch_size,steps_per_epoch,total_steps
leader_follower_var1,lf_gamma0.0,21,0.5,0.0,CI,42,0.9626487092754227,0.7833000113151104,22,128,63,1386
leader_follower_var1,lf_gamma0.0,21,0.5,0.0,CI,123,1.0101802202758488,0.8005447695110912,31,128,63,1953
leader_follower_var1,lf_gamma0.0,21,0.5,0.0,CI,456,1.0542527868505978,0.8192154894041683,28,128,63,1764
leader_follower_var1,lf_gamma0.0,21,0.5,0.0,CI,789,1.0713302939113576,0.8288601241486935,27,128,63,1701
leader_follower_var1,lf_gamma0.0,21,0.5,0.0,CI,1011,1.0366861460875687,0.8117978589345072,20,128,63,1260
leader_follower_var1,lf_gamma0.0,21,0.5,0.0,CD,42,0.964283773997793,0.7839321788094452,7,8,1005,7035
leader_follower_var1,lf_gamma0.0,21,0.5,0.0,CD,123,1.0104587938988028,0.8005607660709536,7,8,1005,7035
leader_follower_var1,lf_gamma0.0,21,0.5,0.0,CD,456,1.0586891930601403,0.8210635503546044,7,8,1005,7035
leader_follower_var1,lf_gamma0.0,21,0.5,0.0,CD,789,1.0682143632256393,0.8276341271352667,7,8,1005,7035
leader_follower_var1,lf_gamma0.0,21,0.5,0.0,CD,1011,1.0418454029978672,0.8139546374988155,7,8,1005,7035
leader_follower_var1,lf_gamma0.0,21,0.5,0.0,CD_Head,42,0.9622399709860028,0.7829850830803136,9,8,1005,9045
leader_follower_var1,lf_gamma0.0,21,0.5,0.0,CD_Head,123,1.0152033833944794,0.802629467668458,9,8,1005,9045
leader_follower_var1,lf_gamma0.0,21,0.5,0.0,CD_Head,456,1.058894093868675,0.8211308306827353,6,8,1005,6030
leader_follower_var1,lf_gamma0.0,21,0.5,0.0,CD_Head,789,1.0707900635807321,0.8287509035951431,6,8,1005,6030
leader_follower_var1,lf_gamma0.0,21,0.5,0.0,CD_Head,1011,1.0360602416399733,0.8117221796605592,6,8,1005,6030
leader_follower_var1,lf_gamma0.6,21,0.5,0.6,CI,42,0.9399721593180643,0.7742189498148119,19,128,63,1197
leader_follower_var1,lf_gamma0.6,21,0.5,0.6,CI,123,0.9895642281730755,0.7908092190271493,18,128,63,1134
leader_follower_var1,lf_gamma0.6,21,0.5,0.6,CI,456,1.0714981622220214,0.8243321329714244,18,128,63,1134
leader_follower_var1,lf_gamma0.6,21,0.5,0.6,CI,789,1.1006725330113165,0.838091142232575,17,128,63,1071
leader_follower_var1,lf_gamma0.6,21,0.5,0.6,CI,1011,1.047074848909996,0.8157255464041736,17,128,63,1071
leader_follower_var1,lf_gamma0.6,21,0.5,0.6,CD,42,0.9436164285719741,0.7754006606275351,7,8,1005,7035
