mode,pred_len,seed,test_mse,test_mae,best_val_mse,best_epoch,num_params,batch_size,steps_per_epoch
CI,96,42,0.17535,0.26311,0.164914,44,732512,8,1953
CI,96,123,0.175383,0.263127,0.165593,47,732512,8,1953
CI,96,456,0.175554,0.262564,0.164567,40,732512,8,1953
CI,192,42,0.184565,0.272767,0.172533,49,867776,8,1940
CI,192,123,0.183019,0.272199,0.172082,42,867776,8,1940
CI,192,456,0.184149,0.27257,0.171957,45,867776,8,1940
CI,336,42,0.202563,0.290779,0.196838,43,1070672,8,1923
CI,336,123,0.201944,0.290212,0.195377,46,1070672,8,1923
CI,336,456,0.202903,0.291027,0.195613,42,1070672,8,1923
CI,720,42,0.244879,0.323158,0.249268,24,1611728,8,1874
CI,720,123,0.24479,0.32404,0.248954,27,1611728,8,1874
CI,720,456,0.245308,0.3233,0.24926,29,1611728,8,1874
