dataset,cell,C,rho,gamma,mode,seed,test_mse,test_mae,best_update,batch_size,steps_per_epoch,total_steps,budget_updates
equal_compute,ar1_C84_rho0.9,84,0.9,,CI,42,0.9495252655165476,0.7761325064046358,756,32,252,12600,12600
equal_compute,ar1_C84_rho0.9,84,0.9,,CD,42,0.9600222196276559,0.7806887156700337,4788,1,8033,12600,12600
equal_compute,ar1_C84_rho0.9,84,0.9,,CI,123,1.0057173135629431,0.794159740048704,756,32,252,12600,12600
equal_compute,ar1_C84_rho0.9,84,0.9,,CD,123,1.0055622401479338,0.7937637833753306,7308,1,8033,12600,12600
equal_compute,ar1_C84_rho0.9,84,0.9,,CI,456,1.0758098130542508,0.8264993067915687,1008,32,252,12600,12600
equal_compute,ar1_C84_rho0.9,84,0.9,,CD,456,1.0642901501383093,0.8229326850706185,3780,1,8033,12600,12600
equal_compute,ar1_C84_rho0.9,84,0.9,,CI,789,1.048761323057427,0.8150632913672445,1008,32,252,12600,12600
equal_compute,ar1_C84_rho0.9,84,0.9,,CD,789,1.0385869725547912,0.8099489018702623,8064,1,8033,12600,12600
equal_compute,ar1_C84_rho0.9,84,0.9,,CI,1011,0.9959461754610877,0.7938708216510717,756,32,252,12600,12600
equal_compute,ar1_C84_rho0.9,84,0.9,,CD,1011,0.9934841089780974,0.7935721504269446,7560,1,8033,12600,12600
equal_compute,lf_gamma0.0,21,0.5,0.0,CI,42,0.9621781726718588,0.7829422098192463,1953,128,63,3150,3150
equal_compute,lf_gamma0.0,21,0.5,0.0,CD,42,0.9612015482625127,0.7830435074682934,2898,8,1005,3150,3150
equal_compute,lf_gamma0.0,21,0.5,0.0,CI,123,1.0126992030921567,0.8016090186613122,2898,128,63,3150,3150
equal_compute,lf_gamma0.0,21,0.5,0.0,CD,123,1.007205563094899,0.7997818392751064,3087,8,1005,3150,3150
equal_compute,lf_gamma0.0,21,0.5,0.0,CI,456,1.053936387256545,0.819106989279342,1764,128,63,3150,3150
equal_compute,lf_gamma0.0,21,0.5,0.0,CD,456,1.050794232634947,0.8182528525910774,2898,8,1005,3150,3150
equal_compute,lf_gamma0.0,21,0.5,0.0,CI,789,1.0709528007680744,0.8287312947421508,1701,128,63,3150,3150
equal_compute,lf_gamma0.0,21,0.5,0.0,CD,789,1.068128438434424,0.8279944395825681,3024,8,1005,3150,3150
equal_compute,lf_gamma0.0,21,0.5,0.0,CI,1011,1.0378588339860526,0.8123341161982189,1764,128,63,3150,3150
equal_compute,lf_gamma0.0,21,0.5,0.0,CD,1011,1.0325230350099726,0.8104661370878123,3024,8,1005,3150,3150
equal_compute,lf_gamma0.6,21,0.5,0.6,CI,42,0.9395873930520202,0.7741758089103712,1197,128,63,3150,3150
equal_compute,lf_gamma0.6,21,0.5,0.6,CD,42,0.9337041667039189,0.772129324083742,2898,8,1005,3150,3150
equal_compute,lf_gamma0.6,21,0.5,0.6,CI,123,0.9893973316579987,0.7907826259261587,1134,128,63,3150,3150
equal_compute,lf_gamma0.6,21,0.5,0.6,CD,123,0.9819766145918664,0.7876596395995648,3087,8,1005,3150,3150
equal_compute,lf_gamma0.6,21,0.5,0.6,CI,456,1.0705676116857048,0.8238962400280816,1134,128,63,3150,3150
equal_compute,lf_gamma0.6,21,0.5,0.6,CD,456,1.0698764341420421,0.8236336941061368,2709,8,1005,3150,3150
equal_compute,lf_gamma0.6,21,0.5,0.6,CI,789,1.100075253804365,0.8379534746009051,1071,128,63,3150,3150
equal_compute,lf_gamma0.6,21,0.5,0.6,CD,789,1.0913816647863956,0.8352527680344188,2709,8,1005,3150,3150
equal_compute,lf_gamma0.6,21,0.5,0.6,CI,1011,1.0467431563222334,0.8156355001660713,1071,128,63,3150,3150
equal_compute,lf_gamma0.6,21,0.5,0.6,CD,1011,1.0427913770063693,0.8147563849480532,2961,8,1005,3150,3150
