mode,pred_len,seed,test_mse,test_mae,best_epoch,batch_size,steps_per_epoch,total_steps_to_best,warmup_epochs,min_epochs,max_epochs
CI,96,42,0.4665714955210421,0.4613958495715963,11,32,252,2772,10,15,100
CI,96,123,0.459832394080071,0.4603333351843811,8,32,252,2016,10,15,100
CI,96,456,0.4579819700392386,0.46149055645895765,11,32,252,2772,10,15,100
CI,96,789,0.4593487807403738,0.4601894190351907,11,32,252,2772,10,15,100
CI,96,1011,0.4556905526764725,0.45939574105604913,12,32,252,3024,10,15,100
CD,96,42,0.48115627216095685,0.47857159064106564,5,32,252,1260,10,15,100
CD,96,123,0.4720581568928446,0.47493727622254767,14,32,252,3528,10,15,100
CD,96,456,0.510623232902829,0.504188155074326,15,32,252,3780,10,15,100
CD,96,789,0.47451030056517324,0.4747351813155259,4,32,252,1008,10,15,100
CD,96,1011,0.5188266750409583,0.5097364211660954,16,32,252,4032,10,15,100
CI,192,42,0.5116010292050636,0.49440266045141906,3,32,249,747,10,15,100
CI,192,123,0.5125606198552336,0.49647901768120195,3,32,249,747,10,15,100
CI,192,456,0.5399738342072081,0.5118589409371758,2,32,249,498,10,15,100
CI,192,789,0.5391700487582408,0.5102162795920262,2,32,249,498,10,15,100
CI,192,1011,0.5109522220323522,0.49279546166621513,3,32,249,747,10,15,100
CD,192,42,0.5126728086627886,0.4957927626016444,4,32,249,996,10,15,100
CD,192,123,0.5222700309461558,0.5026392696271595,3,32,249,747,10,15,100
CD,192,456,0.5137395878425874,0.49556171107515223,4,32,249,996,10,15,100
CD,192,789,0.5273968845241844,0.503259831814788,3,32,249,747,10,15,100
CD,192,1011,0.5210889159179795,0.499281100993843,3,32,249,747,10,15,100
CI,336,42,0.5841588720902502,0.5383898158986995,2,32,244,488,10,15,100
CI,336,123,0.5766164478764152,0.5349386041140463,2,32,244,488,10,15,100
CI,336,456,0.580911335150603,0.5381639456147805,2,32,244,488,10,15,100
CI,336,789,0.5806140706173468,0.5369022981515514,2,32,244,488,10,15,100
CI,336,1011,0.5724143182367878,0.5301152536251365,2,32,244,488,10,15,100
CD,336,42,0.5812886758538699,0.5377827840052753,3,32,244,732,10,15,100
CD,336,123,0.5983713229885976,0.5440626973132415,2,32,244,488,10,15,100
CD,336,456,0.6032366692633973,0.5434932748053456,2,32,244,488,10,15,100
CD,336,789,0.5664326941223099,0.5275522505263299,3,32,244,732,10,15,100
CD,336,1011,0.5956265566684261,0.541262286601417,2,32,244,488,10,15,100
CI,720,42,0.7078700153537177,0.6101135075664761,2,32,232,464,10,15,100
CI,720,123,0.7067047554161907,0.6117714789368709,2,32,232,464,10,15,100
CI,720,456,0.7099319095766743,0.6144858224985084,2,32,232,464,10,15,100
CI,720,789,0.707064296428529,0.6114766732412917,2,32,232,464,10,15,100
CI,720,1011,0.6994957214207522,0.6081778240875311,2,32,232,464,10,15,100
CD,720,42,0.7056097645400301,0.6089746909469372,3,32,232,696,10,15,100
CD,720,123,0.7289403654624643,0.616926524248505,2,32,232,464,10,15,100
CD,720,456,0.741507437381968,0.621555172602368,2,32,232,464,10,15,100
CD,720,789,0.7317291781936412,0.616563250581342,2,32,232,464,10,15,100
CD,720,1011,0.7254374622982939,0.6159355752741189,2,32,232,464,10,15,100
