dataset,C,rho,empirical_rho,mode,pred_len,test_mse,test_mae,best_epoch,seed,batch_size,steps_per_epoch,total_steps
synthetic_ar1,7,0.1,0.1059,CI,96,0.995851,0.796742,33,42,128,59,1947
synthetic_ar1,7,0.1,0.1147,CI,96,0.992146,0.794121,40,123,128,59,2360
synthetic_ar1,7,0.1,0.097,CI,96,1.102359,0.83691,24,456,128,59,1416
synthetic_ar1,7,0.1,0.1059,CD,96,0.9967,0.797057,18,42,64,117,2106
synthetic_ar1,7,0.1,0.1147,CD,96,0.992978,0.794445,17,123,64,117,1989
synthetic_ar1,7,0.1,0.097,CD,96,1.105565,0.837837,14,456,64,117,1638
synthetic_ar1,7,0.1,0.1059,DLinear,96,1.017099,0.805587,50,42,128,59,2950
synthetic_ar1,7,0.1,0.1147,DLinear,96,1.009743,0.801584,50,123,128,59,2950
synthetic_ar1,7,0.1,0.097,DLinear,96,1.123269,0.845619,50,456,128,59,2950
synthetic_ar1,7,0.5,0.5081,CI,96,0.999268,0.795226,33,42,128,59,1947
synthetic_ar1,7,0.5,0.5199,CI,96,0.995906,0.797662,35,123,128,59,2065
synthetic_ar1,7,0.5,0.4957,CI,96,1.110639,0.840234,31,456,128,59,1829
synthetic_ar1,7,0.5,0.5081,CD,96,0.999717,0.795164,18,42,64,117,2106
synthetic_ar1,7,0.5,0.5199,CD,96,0.996639,0.797789,23,123,64,117,2691
synthetic_ar1,7,0.5,0.4957,CD,96,1.115945,0.842419,4,456,64,117,468
synthetic_ar1,7,0.5,0.5081,DLinear,96,1.025949,0.806327,50,42,128,59,2950
synthetic_ar1,7,0.5,0.5199,DLinear,96,1.022394,0.808658,50,123,128,59,2950
synthetic_ar1,7,0.5,0.4957,DLinear,96,1.140345,0.852074,50,456,128,59,2950
synthetic_ar1,7,0.9,0.9027,CI,96,0.982882,0.788927,3,42,128,59,177
synthetic_ar1,7,0.9,0.9062,CI,96,1.01599,0.803868,3,123,128,59,177
synthetic_ar1,7,0.9,0.8987,CI,96,1.122855,0.84464,3,456,128,59,177
synthetic_ar1,7,0.9,0.9027,CD,96,0.982636,0.788543,3,42,64,117,351
synthetic_ar1,7,0.9,0.9062,CD,96,1.016321,0.803973,3,123,64,117,351
synthetic_ar1,7,0.9,0.8987,CD,96,1.1299,0.847411,2,456,64,117,234
synthetic_ar1,7,0.9,0.9027,DLinear,96,1.054501,0.815639,50,42,128,59,2950
synthetic_ar1,7,0.9,0.9062,DLinear,96,1.040856,0.81239,50,123,128,59,2950
synthetic_ar1,7,0.9,0.8987,DLinear,96,1.181768,0.866579,50,456,128,59,2950
synthetic_ar1,21,0.1,0.1016,CI,96,0.965121,0.783907,37,42,128,59,2183
synthetic_ar1,21,0.1,0.1066,CI,96,0.973664,0.784462,47,123,128,59,2773
synthetic_ar1,21,0.1,0.1011,CI,96,1.017595,0.804256,38,456,128,59,2242
synthetic_ar1,21,0.1,0.1016,CD,96,0.966533,0.784458,13,42,8,930,12090
synthetic_ar1,21,0.1,0.1066,CD,96,0.975124,0.785043,9,123,8,930,8370
synthetic_ar1,21,0.1,0.1011,CD,96,1.018126,0.804515,12,456,8,930,11160
synthetic_ar1,21,0.1,0.1016,DLinear,96,0.977739,0.789586,50,42,128,59,2950
synthetic_ar1,21,0.1,0.1066,DLinear,96,0.985872,0.789912,50,123,128,59,2950
synthetic_ar1,21,0.1,0.1011,DLinear,96,1.030962,0.810157,50,456,128,59,2950
synthetic_ar1,21,0.5,0.5034,CI,96,0.971485,0.784835,20,42,128,59,1180
synthetic_ar1,21,0.5,0.5133,CI,96,0.975864,0.787323,36,123,128,59,2124
synthetic_ar1,21,0.5,0.5024,CI,96,1.034249,0.80934,38,456,128,59,2242
synthetic_ar1,21,0.5,0.5034,CD,96,0.973459,0.785578,6,42,8,930,5580
synthetic_ar1,21,0.5,0.5133,CD,96,0.97712,0.787434,7,123,8,930,6510
synthetic_ar1,21,0.5,0.5024,CD,96,1.033959,0.809142,7,456,8,930,6510
synthetic_ar1,21,0.5,0.5034,DLinear,96,0.996398,0.7953,50,42,128,59,2950
synthetic_ar1,21,0.5,0.5133,DLinear,96,0.999467,0.797249,50,123,128,59,2950
synthetic_ar1,21,0.5,0.5024,DLinear,96,1.062196,0.820827,50,456,128,59,2950
synthetic_ar1,21,0.9,0.9012,CI,96,0.995967,0.79054,5,42,128,59,295
synthetic_ar1,21,0.9,0.9046,CI,96,0.989876,0.797493,3,123,128,59,177
synthetic_ar1,21,0.9,0.9009,CI,96,1.060152,0.820287,4,456,128,59,236
synthetic_ar1,21,0.9,0.9012,CD,96,0.994991,0.791026,5,42,8,930,4650
synthetic_ar1,21,0.9,0.9046,CD,96,0.986791,0.795811,5,123,8,930,4650
synthetic_ar1,21,0.9,0.9009,CD,96,1.060792,0.819315,4,456,8,930,3720
synthetic_ar1,21,0.9,0.9012,DLinear,96,1.034822,0.807366,50,42,128,59,2950
synthetic_ar1,21,0.9,0.9046,DLinear,96,1.018915,0.809262,50,123,128,59,2950
synthetic_ar1,21,0.9,0.9009,DLinear,96,1.108312,0.837224,50,456,128,59,2950
synthetic_ar1,84,0.1,0.0969,CI,96,0.979269,0.789238,25,42,32,233,5825
synthetic_ar1,84,0.1,0.0987,CI,96,0.981842,0.790799,28,123,32,233,6524
synthetic_ar1,84,0.1,0.1037,CI,96,0.963049,0.783283,28,456,32,233,6524
synthetic_ar1,84,0.1,0.0969,CD,96,0.978887,0.789051,4,42,1,7433,29732
synthetic_ar1,84,0.1,0.0987,CD,96,0.981518,0.790646,4,123,1,7433,29732
synthetic_ar1,84,0.1,0.1037,CD,96,0.963725,0.78357,4,456,1,7433,29732
synthetic_ar1,84,0.1,0.0969,DLinear,96,0.979963,0.789642,49,42,32,233,11417
synthetic_ar1,84,0.1,0.0987,DLinear,96,0.981991,0.790905,50,123,32,233,11650
synthetic_ar1,84,0.1,0.1037,DLinear,96,0.964402,0.783895,50,456,32,233,11650
synthetic_ar1,84,0.5,0.492,CI,96,0.949629,0.778475,10,42,32,233,2330
synthetic_ar1,84,0.5,0.4967,CI,96,0.969467,0.783347,9,123,32,233,2097
synthetic_ar1,84,0.5,0.5095,CI,96,0.944019,0.777671,9,456,32,233,2097
synthetic_ar1,84,0.5,0.492,CD,96,0.94643,0.777073,4,42,1,7433,29732
synthetic_ar1,84,0.5,0.4967,CD,96,0.967822,0.782605,4,123,1,7433,29732
synthetic_ar1,84,0.5,0.5095,CD,96,0.947021,0.779009,4,456,1,7433,29732
synthetic_ar1,84,0.5,0.492,DLinear,96,0.958268,0.781898,50,42,32,233,11650
synthetic_ar1,84,0.5,0.4967,DLinear,96,0.977357,0.786639,50,123,32,233,11650
synthetic_ar1,84,0.5,0.5095,DLinear,96,0.955079,0.782218,50,456,32,233,11650
synthetic_ar1,84,0.9,0.8972,CI,96,0.920031,0.770859,2,42,32,233,466
synthetic_ar1,84,0.9,0.8989,CI,96,0.965398,0.778378,2,123,32,233,466
synthetic_ar1,84,0.9,0.9033,CI,96,0.951468,0.782855,1,456,32,233,233
synthetic_ar1,84,0.9,0.8972,CD,96,0.921828,0.772044,1,42,1,7433,7433
synthetic_ar1,84,0.9,0.8989,CD,96,0.967903,0.779125,2,123,1,7433,14866
synthetic_ar1,84,0.9,0.9033,CD,96,0.946033,0.783,1,456,1,7433,7433
synthetic_ar1,84,0.9,0.8972,DLinear,96,0.959023,0.787884,50,42,32,233,11650
synthetic_ar1,84,0.9,0.8989,DLinear,96,0.990633,0.788604,50,123,32,233,11650
synthetic_ar1,84,0.9,0.9033,DLinear,96,0.955731,0.788471,50,456,32,233,11650
