dataset,C,rho,gamma,mode,seed,test_mse,test_mae,best_epoch,batch_size,steps_per_epoch,total_steps
leader_follower_var1,21,0.5,0.0,CI,42,0.9626487092754227,0.7833000113151104,22,128,63,1386
leader_follower_var1,21,0.5,0.0,CI,123,1.0101802202758488,0.8005447695110912,31,128,63,1953
leader_follower_var1,21,0.5,0.0,CI,456,1.0542527868505978,0.8192154894041683,28,128,63,1764
leader_follower_var1,21,0.5,0.0,CI,789,1.0713302939113576,0.8288601241486935,27,128,63,1701
leader_follower_var1,21,0.5,0.0,CI,1011,1.0366861460875687,0.8117978589345072,20,128,63,1260
leader_follower_var1,21,0.5,0.0,CD,42,0.9642842296335309,0.7839328944964035,7,8,1005,7035
leader_follower_var1,21,0.5,0.0,CD,123,1.0104487396505133,0.800556999910189,7,8,1005,7035
leader_follower_var1,21,0.5,0.0,CD,456,1.0587027682826102,0.8210682484854515,7,8,1005,7035
leader_follower_var1,21,0.5,0.0,CD,789,1.0682006089082756,0.8276290817100375,7,8,1005,7035
leader_follower_var1,21,0.5,0.0,CD,1011,1.0418417903051505,0.8139536281953287,7,8,1005,7035
leader_follower_var1,21,0.5,0.0,DLinear,42,0.9659194356498648,0.7847142466787914,48,128,63,3024
leader_follower_var1,21,0.5,0.0,DLinear,123,1.011890174741531,0.8010153129342733,49,128,63,3087
leader_follower_var1,21,0.5,0.0,DLinear,456,1.061145719309318,0.8220684834784112,50,128,63,3150
leader_follower_var1,21,0.5,0.0,DLinear,789,1.0699101254798828,0.8281001765899203,48,128,63,3024
leader_follower_var1,21,0.5,0.0,DLinear,1011,1.0413931351923285,0.8142014060743267,50,128,63,3150
leader_follower_var1,21,0.5,0.3,CI,42,0.9418748293731538,0.774820160531629,19,128,63,1197
leader_follower_var1,21,0.5,0.3,CI,123,0.9998328511590514,0.7954275906038101,18,128,63,1134
leader_follower_var1,21,0.5,0.3,CI,456,1.073271685758324,0.8249316831112211,18,128,63,1134
leader_follower_var1,21,0.5,0.3,CI,789,1.0979355099535872,0.8380310238887405,17,128,63,1071
leader_follower_var1,21,0.5,0.3,CI,1011,1.0498427682477707,0.8179538293574414,17,128,63,1071
leader_follower_var1,21,0.5,0.3,CD,42,0.9445250668227104,0.7756347179409512,7,8,1005,7035
leader_follower_var1,21,0.5,0.3,CD,123,1.002606803834318,0.7961726998456025,6,8,1005,6030
leader_follower_var1,21,0.5,0.3,CD,456,1.0824236055953187,0.829316127826302,7,8,1005,7035
leader_follower_var1,21,0.5,0.3,CD,789,1.107309465502428,0.8419740198560923,7,8,1005,7035
