mode,seed,spe,main_best_epoch,replayed_best_epoch,stop_epoch,stop_total,epoch_faithful,main_test_mse,test_earlystop,test_earlystop_delta,test_epoch_global,test_upd_within_stop,test_upd_global,test_upd_within_U,cadence_gap,upd_global_update,upd_global_epoch,upd_global_lr,val_min,val_end,overtrain_tail,n_eval_points,n_upd_rungs,n_ep_rungs
CI,42,63,19,17,27,1701,False,0.94,0.9389400578478202,-0.0010599421521797,0.9389400578478202,0.9389400578478202,0.9389400578478202,0.9389400578478202,0.0,1071,17,9.45503262094184e-05,1.0252708111286566,1.0360667849570353,True,210,30,9
CI,123,63,18,17,27,1701,True,0.9896,0.9859393044709636,-0.0036606955290365,0.9859393044709636,0.9866906081637268,0.9866906081637268,0.9866906081637268,-0.0007513036927632,1104,18,9.26320082177046e-05,0.9658716505854616,0.9844444237128052,True,210,40,15
CI,456,63,18,20,30,1890,False,1.0715,1.080055286098803,0.0085552860988031,1.080055286098803,1.0778786958511408,1.0778786958511408,1.0778786958511408,0.0021765902476622,1380,22,8.247240241650918e-05,0.9481692789623182,0.970373055481358,True,210,33,8
CI,789,63,17,16,26,1638,True,1.1007,1.1001279865017388,-0.0005720134982611,1.1001279865017388,1.1082204863838958,1.1082204863838958,1.1082204863838958,-0.0080924998821569,1308,21,8.535533905932738e-05,1.110100266390652,1.125231212333885,True,210,34,10
CI,1011,63,17,17,27,1701,True,1.0471,1.0533183048044157,0.0062183048044155,1.0533183048044157,1.0502993894204915,1.0502993894204915,1.0502993894204915,0.0030189153839237,888,15,9.755282581475769e-05,0.8819391387815209,0.9002754893867101,True,210,41,12
CD,42,1005,7,5,15,15075,False,0.9436,0.93886828818637,-0.0047317118136299,0.93886828818637,0.9358152303841596,0.9358152303841596,0.9511110474158776,0.0030530578022105,5628,6,6.000000000000001e-05,1.0222465474591955,1.221847252337656,True,125,12,3
CD,123,1005,6,5,15,15075,True,0.9972,0.9891438123531328,-0.0080561876468672,0.9891438123531328,0.9891438123531328,0.9891438123531328,0.9884547393809272,0.0,5025,5,5e-05,0.9670219974148736,1.1454192034964237,True,125,14,4
CD,456,1005,7,5,15,15075,False,1.0797,1.068024615288973,-0.0116753847110271,1.068024615288973,1.068024615288973,1.068024615288973,1.080989824406835,0.0,5025,5,5e-05,0.9486165777170232,1.300081292917221,True,125,10,3
CD,789,1005,7,7,17,17085,True,1.1101,1.1049221584574285,-0.0051778415425716,1.1049221584574285,1.099397911427836,1.099397911427836,1.1115518510980569,0.0055242470295924,5427,6,6.000000000000001e-05,1.1083492714629204,1.2844436425255457,True,125,8,6
CD,1011,1005,4,4,14,14070,True,1.0579,1.0478460130357274,-0.0100539869642726,1.0478460130357274,1.053982629382341,1.053982629382341,1.0592093603405488,-0.0061366163466136,5628,6,6.000000000000001e-05,0.8861011611177343,1.0478307328288017,True,125,12,4
